# time,x_gt,y_gt,yaw_gt,speed_gt,omega_gt,x_ekf,y_ekf,tracking_error,localization_error
1.725020000000000095e+02,1.522250294015310201e+00,4.000155014708925094e+00,-1.473989583794437452e+00,2.002195291542699929e-01,4.823234430318329435e-02,1.522825440657426865e+00,4.020518700214427810e+00,1.723586572324311769e-02,2.037180603252837160e-02
1.725219999999999914e+02,1.522640110698167293e+00,3.996171676462046740e+00,-1.473034171923256475e+00,2.002344480234088397e-01,4.793767455741369810e-02,1.528827753701210712e+00,4.015524184162633681e+00,1.748968712543818096e-02,2.031763963245704005e-02
1.725420000000000016e+02,1.523034003299105876e+00,3.992188829755299206e+00,-1.472083112327190024e+00,2.002410895646885292e-01,4.780624381747635571e-02,1.530184630248590638e+00,4.011325831187125601e+00,1.774759883120499357e-02,2.042929978174541292e-02
1.725620000000000118e+02,1.523431673001373055e+00,3.988206367549131492e+00,-1.471138004912349029e+00,2.002375320926319535e-01,4.739682149514112819e-02,1.530380147671861035e+00,4.007326518980692143e+00,1.800929854905930494e-02,2.034358599195883535e-02
1.725819999999999936e+02,1.523833057467859353e+00,3.984224354008335300e+00,-1.470196335809504262e+00,2.002378450633565954e-01,4.739624743590337835e-02,1.530575665095131210e+00,4.003327206774264013e+00,1.827472616511510717e-02,2.025788097042962796e-02
1.726020000000000039e+02,1.524238140477680581e+00,3.980242726268124365e+00,-1.469254224072698900e+00,2.002360219718700429e-01,4.743227453042377084e-02,1.530771182518401829e+00,3.999327894567830111e+00,1.854386332521903991e-02,2.017236444579376467e-02
1.726220000000000141e+02,1.524646861311449664e+00,3.976261462017148585e+00,-1.468310983265211922e+00,2.002328335002076243e-01,4.749794816595225705e-02,1.530966699941672227e+00,3.995328582361396208e+00,1.881664858480038352e-02,2.008719588529158176e-02
1.726419999999999959e+02,1.525059187928648363e+00,3.972280550744858196e+00,-1.467366097657640367e+00,2.002287193577238222e-01,4.758248282126695955e-02,1.531161816140926835e+00,3.991329786105300759e+00,1.909304956371378134e-02,2.000288576467986607e-02
1.726620000000000061e+02,1.525473226687043216e+00,3.968299293111227311e+00,-1.466506983217303661e+00,1.997439366915456926e-01,3.309254545843152290e-02,1.531356832034177717e+00,3.987331118836782817e+00,1.937114988357168180e-02,1.992052213996274926e-02
1.726819999999999879e+02,1.525886019782707326e+00,3.964318298507052418e+00,-1.465954994428452007e+00,2.000272767006579244e-01,2.624118673410279559e-02,1.531551847927428156e+00,3.983332451568270649e+00,1.964801422961236221e-02,1.984035345453667373e-02
1.727019999999999982e+02,1.526303566651008525e+00,3.960338490365092667e+00,-1.465443799801785518e+00,2.000782267007382154e-01,2.517785029230823479e-02,1.531746863820679039e+00,3.979333784299752708e+00,1.992967002576738478e-02,1.975982479025245597e-02
1.727220000000000084e+02,1.526724631691881218e+00,3.956359636049481932e+00,-1.464953349448539166e+00,2.001113169491273991e-01,2.442453934034434157e-02,1.531941879713929699e+00,3.975335117031234766e+00,2.021487446069628741e-02,1.967964825428626316e-02
1.727419999999999902e+02,1.527148303373004445e+00,3.952381386608294189e+00,-1.464474079976347376e+00,2.001268232575943717e-01,2.408837385567048212e-02,1.532174327228685629e+00,3.971784882202602507e+00,2.050270463797228271e-02,2.004386582164774736e-02
